tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Open Idf 1,2022/1/1,9,Busuttil Michel,,Tastet Marc,,A,,f5d6c3d3c4f4c5b3c2e3d2c6e2e6b4a3a5a4a2f2g3f6f3c1f1d1d7e1f7e7d8c8c7e8f8g8b1g6g5h5h4g4b6b7h7h6a8a6b5h8h3a1b2g1g7g2h2h1b8a7,
Open Idf 1,2022/1/1,10,Lazard Emmanuel,,Levy Marc,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4a3g3e6f2c1f6d1b5a4f3e2c7d7b6c8a5a6d8e8b7f7e1e7b8g6g5h5h6h4h3g4b1f1g1g7a7a8h8h7g2h1h2a1g8f8a2b2,
Open Idf 1,2022/1/1,11,Levy Marc,,Andriani Bintsa,,A,,f5d6c4d3c3b3c6b6d7f4e3d2e2f3c5c7e6b4g5g4c1f2h3g6g3h6h5f7c2f6a3c8a4e1d1b1f1g1b5h4h7g2a7b2b7a8b8a5a6e7e8g8f8d8h8g7a1a2h1h2,
Open Idf 1,2022/1/1,12,Levy Marc,,Busuttil Michel,,A,,f5f6e6f4g5e7e3g6d3c6d6f3g4h3h4h5g3c5f7c2c3f8c1c4b4h2h7d2b5b6d1a5e2a3a4f2g7b3b2e1h6h8c7d7a2c8d8a1b1e8a7a6b7a8g1f1b8h1g8g2,
Open Idf 1,2022/1/1,13,Lazard Emmanuel,,Andriani Bintsa,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4b5f2e6f3c1a3a4a5d1e2f6e1g6g5a6a7b6a2h5d7e7g4c7f8h3h4h6f7g3g2d8c8e8b7b2h2h1a1a8b8g1f1g8b1h8g7h7,
Open Idf 1,2022/1/1,14,Busuttil Michel,,Lazard Emmanuel,,A,,f5d6c3d3c4f4c5b3c2e3d2b6c6e6b4e2a3d1f2b5g5g3g4c1h4a5a7d7d8e7c7f6f8e8c8f7g6f1e1f3b2a1b1a6a4h3h2g2h5a2b7a8b8h6h7g7h8g8h1g1,
Open Idf 1,2022/1/1,15,Andriani Bintsa,,Busuttil Michel,,A,,f5f6e6f4g5e7e3g6d6f3f7g4h3h4g3d2h6e2h5f8d8c6c5b6f2c4d7f1d1c8c1d3e8c2c7g2a6b7b1a7h1a5g1h2e1g8h8h7g7b8c3b2a1b3a4a2a3b4b5a8,
Open Idf 2,2022/1/1,1,Levy-Abegnoli Thier,,Tastet Marc,,A,,f5d6c3d3c4f4c5b3c2e6c6b4b5f6d7d2g3c1g5c7a4a3b6c8e8e7f7g8a2e2e3a6g6f3f2g4d1f1e1h5h6h3d8f8h4h7b1a1a5g1a7h2b7b8g2a8g7h1b2h8,
Open Idf 2,2022/1/1,2,Tastet Marc,,Levy Marc,,A,,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2e2f1c8f3c7d8e8g3b6b5a5h4c1d1b4h6g2g6b3c2h2h1h5h3g7h8h7g8f8b8e1b1g1b2a1a6a7a4a3a2b7a8,
Open Idf 2,2022/1/1,3,Andriani Bintsa,,Tastet Marc,,A,,f5d6c5f4d3e3g4g5f3c4e6e2d2f2g3c1e1h4h6d1b1c3c6h3b3b4c2g6f6a3a5a4a2b5a6g1f1a1b6a7h2b2h5c7d7d8e8f8b8c8g8g2b7a8f7e7h8g7h7h1,
Open Idf 2,2022/1/1,4,Tastet Marc,,Le Morvan Eric,,A,,f5d6c5f4e3c6d3f3e6f7g4b4e7f6b5e8g6e2c7h4d7h5e1d2d1c4g5d8h6h7f2g1h3h2g3c3a3c8c2b1b6a7a6a5b2g2f1c1b3b7a4a2a1a8b8h1h8g7f8g8,
Open Idf 2,2022/1/1,5,Tastet Marc,,Busuttil Michel,,A,,f5f6e6f4c3e7f3e3d3e2g4g5f7c4d6g6f2d2g3f1f8h5h6h7h3c2g2c5c6d8e8g8h4h1h8g7d7b6c7c8b8b7a5a6a7a8b5a4b4b3a3a2d1e1c1h2g1b1b2a1,
Open Idf 2,2022/1/1,6,Levy-Abegnoli Thier,,Levy Marc,,A,,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b5a4a6a3b6c3e7f8c8d8c7f7g5d2e2e1c2d1a5a7g6g4f3h4h6h5c1b1e8h7b7h3g2f2f1a8b8b2a1a2g1h2h1h8g7g8,
Open Idf 2,2022/1/1,7,Andriani Bintsa,,Levy-Abegnoli Thier,,A,,f5f6e6f4e3c5c4e7g4f3g5d3c2c6d6g6d7c3e2h5d2f7b3c8b5c7d8e8b4a5g8f8b8a3h4h3g3h2h7f2f1g2a4b7b6a8a7a6h1h6g7g1a2h8a1b1d1e1c1b2,
Open Idf 2,2022/1/1,8,Levy-Abegnoli Thier,,Le Morvan Eric,,A,,f5d6c3f4f6d3c5g6g5c6e7d7g3c4b5b6f3b3d2a5h6e2c2e3b4g4h3e6a3a4f7e1f1f2c1d1c8h4h5f8c7e8a6b7a7g7a2b2d8b8h8h7g8g1a8b1a1h2g2h1,
Open Idf 2,2022/1/1,9,Busuttil Michel,,Levy-Abegnoli Thier,,A,,f5f6e6f4e3c5c4e7c6e2f3d3f2d2c3c2f1d6e1c1g4g5h5g3c7d1d7g1g6h6h4h3f8h7g2f7g8e8d8h1g7h2b1b3b2h8a2a1a3b5a5b6a6b7c8b8b4a4a7,
Open Idf 2,2022/1/1,10,Levy Marc,,Andriani Bintsa,,A,,f5d6c4d3c3f4c5b3c2e3d2c6b4b5f2e6f3c1a3a4a5d1e2g1f7e7f6g5e8g6g4h5h3g3h6d7h4a6a7b6a2g8c8d8f8h7h8g7h2b2a1b1e1f1c7b7b8a8g2h1,
Open Idf 2,2022/1/1,11,Le Morvan Eric,,Levy Marc,,A,,f5d6c5f4e3c6d3f6d7e6f7f3c4e7g6g5f8e8d8c8b8c7h6h4b5b6a6e2d2b4a3f2g3g4b3a4a5c3e1c1d1c2h3h5b2b7b1g2g1h1h2f1a8a7a1h7h8a2g7g8,
Open Idf 2,2022/1/1,12,Levy Marc,,Busuttil Michel,,A,,f5f6e6f4g5e7e3g6d6f3d3e2g4h4d7h5d2c5g3f7h3d8c4c3c6b5b6b4c8e8c7a6b3h2a4c1f1e1f2c2a5a3d1a7b1g2b7a8b8b2a1a2g1h6h7h1g7h8g8f8,
Open Idf 2,2022/1/1,13,Le Morvan Eric,,Andriani Bintsa,,A,,f5f6e6f4f3c5c4d6c6e3g5g4h5g3h2b5b6d3a5b4c7d7a4b3c8c3g6a3f2e7a2e2f8h4h3f7e1d2c1d8g8d1c2b8g7h6h7b2a1b1e8h8b7h1g2f1g1a8a7a6,
Open Idf 2,2022/1/1,14,Andriani Bintsa,,Busuttil Michel,,A,,f5f6e6f4e3c5g5d3d6g4c4c3f3d2e2h6g3f1e1d1f2h3g6h7b6b5b4b3c1b1c2a4a5a6a2g1g2f7f8e7e8d8c8c7c6d7b7b2h5a7b8h4a1a3a8g7h1h2h8g8,
Open Idf 2,2022/1/1,15,Busuttil Michel,,Le Morvan Eric,,A,,f5f6e6f4e3d6c4f3g3d3c5c3c6d2g4g5f2e2b3h3f1d1c1b1g2c2e1h1a1h2d7b5b6c7b2g1a4d8c8b8e7a6b4a2a3a5e8f8f7g8h6h4a7g6h7h5g7h8b7a8,
Open Idf 3,2022/1/1,1,Levy-Abegnoli Thier,,Lazard Emmanuel,,A,,f5d6c3d3c4f4c5b3c2e3d2b6b4e6b5c6f7a3a4a5e2f2f3c1d1e1f1e7b1a2d7c7a7f6g5d8b8c8e8a6a1b2b7a8f8g8g7h7h8h6g3g6h5h4h3g4h2h1g2g1,
Open Idf 3,2022/1/1,2,Lazard Emmanuel,,Levy Marc,,A,,f5d6c5f4e3c6d3f6e6d7g3c4g6c3e7d2f7f2e2f1c1d1c8f3c7h3e1b1g4h5h4h6g5d8e8f8g8b8a8g7h8h7b7b6a6a7a5a4g2h2b5b4h1g1a1c2b2a2a3b3,
Open Idf 3,2022/1/1,3,Lazard Emmanuel,,Tastet Marc,,A,,f5d6c5f4e3c6d3f6e6d7g3c4e7c3g4g5c8h3h6h4f7f8e8g6c7e2d2e1c1c2d1b1f3h2f2d8g8g7h5h7b6f1h8a6h1b4g1g2a1b7b8a8a7b2b5a5a3a4b3a2,
Open Idf 3,2022/1/1,4,Andriani Bintsa,,Lazard Emmanuel,,A,,f5d6c5f4e3c6f3g6e6f6d7b5e7f7g4g5c4h3h5d8b4h4h2g3f2c8a6b3c3d3c7d2c2e2a3f1f8b6d1e8b8a4g8b1h6a2c1e1b2h7g2h1g1g7a1b7h8a7a8a5,
Open Idf 3,2022/1/1,5,Levy-Abegnoli Thier,,Levy Marc,,A,,f5d6c3d3c5f4f3g4e3c4e6c2b4e2d2d1f1g6g3e1f2g5f6b6b5d7f7e7h4a4a3a6a5c6b3a2c1h5h3h2h7g2d8c8f8h6h1g1e8g8g7c7b8a8a7b2a1b1b7,
Open Idf 3,2022/1/1,6,Tastet Marc,,Levy-Abegnoli Thier,,A,,f5f6e6f4g5e7f7d6f3g6d8h5e3d7c3d3c4c5e2g3h3b4c8f2g4e1h7f8c7h6h4e8g8c6b6a6d2d1b7c2a5g2f1a4h2b8a8a7b5b3a3b2c1a1b1a2g7g1h1h8,
Open Idf 3,2022/1/1,7,Andriani Bintsa,,Levy-Abegnoli Thier,,A,,f5f6e6f4e3c5g5g3g4f3g6d3f2h4h5h6c4b4e2d2c3d7d6d1b6b5f1c7a5e7e1c1b1c2b3a7a6a4c6g2f8d8a3a2h1g1h2h3h7f7b2g7g8a1b8c8e8h8b7a8,
Open Idf 3,2022/1/1,8,Levy Marc,,Tastet Marc,,A,,f5d6c4d3c3f4c5b3c2e3d2c6b4a4b5b6a3e2e7c1a5a6a7d7g3e6e8c8f6c7f1f2f3h3d1e1b1b2g1g2d8f8b7g6g5h6h5f7h1g4h2h4h7g7h8a8g8b8a2a1,
Open Idf 3,2022/1/1,9,Levy Marc,,Andriani Bintsa,,A,,f5d6c4d3c3f4c5b3c2e6c6b4b5d2e3g4g6f6g5a6c1d7a4a2a5a3e2b6h3h6f7e1d1f1g1f2f3h5h4h2c8d8e8e7g7g8f8h8h7g2h1g3b7c7b8a8a7b1a1b2,
Open Idf 3,2022/1/1,10,Tastet Marc,,Andriani Bintsa,,A,,f5d6c5f4e3f6f3c4d3e6c6c3d7c2d2b5b6c7a4c1b4b3e1c8e7d8a3e2f1g3f2d1b1b2f8e8b8a6a5a7a8b7h3h2h4h5g6g5h6h7g4f7g7h8g8g1h1g2a1a2,
Open Idf 4,2022/1/1,1,Levy-Abegnoli Thier,,Levy Marc,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4a3b6f3a5e6a4a6f6b5e2f2g5g3g4h4f7d7g6h5h6e7e8d8c8f8g8c7b8h7h2f1g1a2b7h1h3g2h8g7e1d1b1c1b2a1a8a7,
Open Idf 4,2022/1/1,2,Andriani Bintsa,,Levy-Abegnoli Thier,,A,,f5f6e6f4e3c5c4e7g4f3g5d3c2c6e2b3f7g6d6c3b4a5b6b5d8d7c8c7h6d2c1f8a3e8g8g3h3f1d1f2b8g7e1b1g2a4h8g1b7h7a6a8h5a7b2h1h2a2a1h4,
Open Idf 4,2022/1/1,3,Levy-Abegnoli Thier,,Benoit Serge,,A,,f5d6c3d3c4f4c5b3c2f6a3d2e6d7e3b5c6b4a5a4a6c1c7b6g4c8g5h5e1b2e7g3g6f8e8d8f3f7h4d1h3e2f2g2a1b1a2h2f1g1h1a7a8h6b7b8g7g8h7h8,
Open Idf 4,2022/1/1,4,Tastet Marc,,Levy-Abegnoli Thier,,A,,f5f6e6f4g5e7f7d6f3g6d8h5e3d7c3d3c4c5e2g3h3b4c8f2h6h4g4e1d2g7c7c6b3d1c2b5f1g1c1b1g2h1h2g8h8h7f8e8a4a5a6a3b7b6b2a1a2a7b8a8,
Open Idf 4,2022/1/1,5,Busuttil Michel,,Levy-Abegnoli Thier,,A,,f5f6e6f4e3c5c4e7c6e2f3d3d2c3f2c1g4g5h5g3d7h6d1d6h4b4c7c2f8g6h7e8b6d8b5b3a5a3g2g8b1h3h2h1g7f7g1h8a4f1b2a6e1a1a2c8b8b7a8a7,
Open Idf 4,2022/1/1,6,Andriani Bintsa,,Levy Marc,,A,,f5d6c4d3c5f6e6f4c6b4c3b5b3c2g5g6e7f7f3e3g3h4e2g4d2e8a6a5a4d1b6e1h5d7f2h3f1h6c7a3a2c8f8d8b8b7c1b1a1b2g7h8h7g8a7a8g2g1h1h2,
Open Idf 4,2022/1/1,7,Benoit Serge,,Levy Marc,,A,,f5d6c4d3c3f4e6b3c2e3d2c5b4a4a5e2a3c6b5d1e7b6d7g6a6f6f3g4c1f2g3f7h4e8g5h3h5h6f1e1d8b2a1b1g2h1g8c8c7a2g1h2g7h8h7b7a7f8b8a8,
Open Idf 4,2022/1/1,8,Levy Marc,,Tastet Marc,,A,,f5d6c4d3c3f4c5b3c2e6c6b4b5f6d7d2g3f3d1c1b1h3a5a4a3c7e7a6a7b6f7e2d8g8e3c8e1b7a8b8g4f2e8f1g1b2h2h1a1a2g2h4h5h6g5f8h8g7h7g6,
Open Idf 4,2022/1/1,9,Levy Marc,,Busuttil Michel,,A,,f5d6c4d3c3f4c5b3c2d2e3b4a3f2e6c6d7c7f6d8a4c1b5e7b6g6g5f7c8h6e8a5a6f8g8a7a8a2a1e2g7h8h7b8b7b2b1d1e1g3f3h4h5g4h3f1g2g1h2h1,
Open Idf 4,2022/1/1,10,Benoit Serge,,Andriani Bintsa,,A,,f5d6c4d3c3f4e6b3d2c5b4b5b6e2e3c6d7c2a5a4d1a6c1e1f1f2c7c8a2f3g5d8g4e7g1a3a7g3f8e8f6g8h4b7b2h5g6a1a8f7b1h1b8h3h8h6g7h7h2g2,
Open Idf 4,2022/1/1,11,Tastet Marc,,Andriani Bintsa,,A,,f5d6c5f4e3f6f3c4d3c3e6c6b4d7b5e2b3d2f2g3c7b6a5c8e1c1f1c2h3a3e8a2e7a7g4g6d1g5b1h4f7g8f8d8b7h2g7g2h5a8b8h6b2a1h8g1h7a4a6h1,
Open Idf 4,2022/1/1,12,Andriani Bintsa,,Busuttil Michel,,A,,f5d6c4d3e6f4e3f3c6f6g5g6e7f7g4c3f8b4f2c5b5h6g3h3a3a6a5f1b3a4a7d8e8g8d7c8d2c1e2c2e1d1c7b8g7b6h4h5g1h1b2b1a2h7h8a8b7h2g2,
Open Idf 4,2022/1/1,13,Benoit Serge,,Tastet Marc,,A,,f5d6c3d3c4f4e6f6e7c5d7e3c6b3g6b4g5h6h4f7g4h5f3h3g3b5e2d2f8e1a5c7a4a6a7h2f2c8d8a3a2f1c1d1g1b2a1b1c2h1g2e8g7g8h8h7b8b7b6a8,
Open Idf 4,2022/1/1,14,Busuttil Michel,,Benoit Serge,,A,,f5d6c3d3c4f4f6b5b4g5e6c5d7e3c6b6a5c7e7a4a3a6b3a2d2e2c8c1h5c2g3g4h3h4f3f7f8h6h7g6f2f1e1g1h1h2g2h8g7d1b2g8b1d8e8a1a7b8b7a8,
Open Idf 4,2022/1/1,15,Tastet Marc,,Busuttil Michel,,A,,f5d6c5f4e3c6d3f3e6c4c3f2e2g5f6d7e7g6h5h6g4h3h7g3f7d8e8f8g7e1h4d2f1g1c2b4c1g2d1b1h1h2a1h8b2a2a3a5b3a4b5b6a6c7g8a7a8b7c8b8,
Pan-American Championship,2022/1/1,1,Lucioli Juan Pablo,,Olivares Daniel,,A,,f5f6e6f4g5g6g4e7e3f3d3h6g3c6f7h3d8f8d6e8g8d7h4h5g7c5c4c7b4b5a5h2b6b8g2h1e2f2f1d1d2c1c2g1c8h8h7e1b2b1a1a2b7a7c3b3a3a4a8a6,
Pan-American Championship,2022/1/1,2,Olivares Daniel,,Lucioli Juan Pablo,,A,,f5d6c5f4e3c6e6f7d7c7f6b4b5e7d8d2e2f8c8d3e8f3g3g4f2e1h3g5h4g6c1d1f1h5g8a5c2g2c3h2c4b3a3b7h7h6h1g1a8b6a4b8a7a2a6h8a1b2g7b1,
Pan-American Championship,2022/1/1,3,Coll Pablo,,Reyes Alejandro,,A,,f5d6c3d3c4f4c5b4e3e6e7f3c7d7g3f6f7f8b6b5a6a5c6a7a3g6d8e8g8g4h4c8b8e2b3g5f2d2e1h3d1c2c1h5a4a2g2b2h7g7h2h1h8g1f1b7h6b1a1a8,
Pan-American Championship,2022/1/1,4,Coll Pablo,,Olivares Daniel,,A,,f5d6c3d3c4f4c5b4e3e6e7f3g5g4h3g6a4f6b6b5c6h4h5f8c7e2d7h6e1h2e8d8f7g3f2c8h7h8g2b8b7a5a7a8a6h1g1f1d1g7g8b3a3a2d2c2b1c1b2a1,
Pan-American Championship,2022/1/1,5,Olivares Daniel,,Coll Pablo,,A,,f5d6c5f4e3c6e6d3c4f3d7b4b6g6c3b3a3f6c2d1g5e7g4c8f7h3f8e8h6h5d2g3h4h7e2a6g7e1f1g1c1b1f2a5d8b5b7c7a7a8b8h8g8g2a4a2h1h2a1b2,
Pan-American Championship,2022/1/1,6,Lucioli Juan Pablo,,Reyes Alejandro,,A,,f5d6c4d3c3f4e6f6e3c5c6b5d7e7b6d8f7a6e8f3c8f8c7d2a4b8g5g6g4h4c2b3b4a3a2h3h5h6d1e2h7h8g8g7a8e1f1f2g1b1g2g3c1h1h2b2a7a5a1b7,
Pan-American Championship,2022/1/1,7,Reyes Alejandro,,Lucioli Juan Pablo,,A,,f5d6c5f4e3c6d3f6e6d7g3c4b4b3g5c3b5a5a4a3b6a6f7f2f3e2c8g4d2h6h5c1h4e8c7e7e1c2h7f1d1h2b2d8f8a2a1b1a7b7h3h8b8g8a8g7g6g2h1g1,
Pan-American Championship,2022/1/1,8,Lucioli Juan Pablo,,Reyes Alejandro,,A,,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b5a4a6a3b6c3g5h5e7g4h6h4f7g6h3f2d2a5f3e2c8d1c7a7f1f8e1g1b2a1a2c2a8g2h7e8c1b1d8b7b8g7g8h1h2h8,
Pan-American Championship,2022/1/1,9,Olivares Daniel,,Lucioli Juan Pablo,,A,,f5d6c5f4e3c6e6f7d7c7e7f6b5b6c8e8a6b4c4a5g3d8a4d3f3e2g5c3g6b8g8a3a2b7a8a7f8a1e1g4d2c2b1d1f1c1f2g1h4g7g2h1h2h3h5h6h7h8b2b3,
Pan-American Championship,2022/1/1,10,Olivares Daniel,,Dottore Matias,,A,,f5f6e6f4e3d6g4d3c4c3c5b3c6g3g5b4b5c7b6e2f3f2d2d1e1f1c1b1c2a4a6h3h4h5a2a5a3b2a7b7a1g6d7a8h6g2b8c8d8g1e8e7f8f7g8g7h8h7h2,
Pan-American Championship,2022/1/1,11,Iturbide Paula,,Olivares Daniel,,A,,f5f6e6f4g5g6g4e7f7h5e8c5h6h7f3e3c3d6b5c6g3h4c4d7f2d3e2b6d8c7b4c8b8a5a4a3b3d2a7c2d1c1b1g8b2a1a2h3g2e1f1h2h1g1h8a6f8a8b7g7,
Pan-American Championship,2022/1/1,12,Lucioli Juan Pablo,,Lisnovsky Marcelo,,A,,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2c8f3c7h3e2g4c1h6h4h5b5e8d8b3b6a5a4a6f8g6a3e1g1d1f1b4a7b7c2b2h2h1a1b1a2g2g7g8h8h7b8a8,
Pan-American Championship,2022/1/1,13,Coll Pablo,,Lisnovsky Marcelo,,A,,f5d6c3d3c4f4c5b3c2e6b4d2e3a5c6g4a3b5a6a4b6d7c7c8e2f1e1f2f3c1d1g3h3h4b7h2g2b1a1a8g5a7e7h5d8f6g6h6f7a2b2e8f8h1g1g7h8h7g8b8,
Singapore Championship,2022/1/1,1,Koh Bo Xiang,,Koh Bo Chao Alex,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4e8d8c5b4c6g8b5e3h5b3f2h7d2g4a5f1g3e2e1c2g1d1c1b2a4a2a3a1b1b6a7a6b7h1g2c8a8c7b8h2h8h3g7,
Singapore Championship,2022/1/1,2,Koh Bo Xiang,,Lee Choon Foong,,A,,f5d6c3d3c6f4e6g5f6f7f3c5g3e7g4g6h5f2h6d7c4h3h4e3h2b4e2f1d2b3d1c2b6a6b7g7c7b5h8a8e8g8f8h7d8g2a7h1e1c1g1b8c8a2a3b2a1b1a5a4,
Singapore Championship,2022/1/1,3,Kurniawan Samuel He,,Goh Li Fan Shawn,,A,,f5d6c5f4e3c6d7b5e6c4d3f3g4d2f2e8c2e7c7f6c1g5h6h3h5g3g6f1e2c3c8f7d8f8g8h4b6a7h2g7e1g2b3b4h8h7h1g1a3d1a6a5b2a1b1b8a8a4b7a2,
Singapore Championship,2022/1/1,4,Kurniawan Samuel He,,Koh Bo Chao Alex,,A,,f5f6e6f4f3c5c6e3g5g6e7d6f7h5c3c4b5b4d7g4h6g3h4c7b6e8f8c8a3a5d3a4b3e2d8b7c2c1f1e1f2h2d2d1b1b2a1a2a6a7h3h7g7g8a8h8b8g2g1h1,
Singapore Championship,2022/1/1,5,Lin Xin Rui,,Kurniawan Samuel He,,A,,f5d6c4d3c3b3c5b4d2e1b6c6b5e6c2a6d1a5f1c1b1e2e3f2f3g3g4f6f4g6h3g2a3h2h4g5h5h6h1g1h7a1a4a2b2g7h8e7f7f8g8d7e8d8c8c7b8b7a7a8,
Singapore Championship,2022/1/1,6,Nah Yin Suang,,Kurniawan Samuel He,,A,,f5d6c5f4e3g5f3c4d3c3d7e6b5e2d1f2c2c7f7f6g1c6g3e7g4f8h6h4g6h3c8d2c1b6a5b4b3a6e8h5h2a4a3a2d8b8g7f1e1b2a1b1b7h1g2h7a7a8g8h8,
Singapore Championship,2022/1/1,7,Kurniawan Samuel He,,Chew Ching Wuen,,A,,f5d6c5f4e3c6d7e6f6d3c7g5e7c8c4g6f7f8c3b8d8e8g3f3g4h5h4d2c2b5f2f1d1b4b3e1e2c1a6b6a5a3a7g2h3h2h1g1b1a4a2b2a1b7a8h6h7g7g8h8,
